Age,FL
5,387
5,396
5,445
5,467
5,457
5,367
5,391
5,405
5,408
5,403
5,441
5,409
5,367
5,425
5,445
5,425
5,409
5,444
5,392
5,414
5,420
5,396
5,437
5,412
5,422
5,422
5,441
5,441
5,452
5,458
5,419
5,417
5,431
5,428
5,439
5,435
5,423
5,440
5,444
5,410
5,450
5,425
5,446
5,414
5,405
5,398
5,405
5,450
5,433
5,440
5,450
5,455
5,450
5,432
5,477
5,415
5,437
5,411
5,414
5,435
5,435
5,442
5,419
5,439
5,405
5,425
5,441
5,395
5,449
5,408
5,407
5,415
5,418
5,490
5,445
5,400
5,411
5,425
5,436
5,436
5,390
5,388
5,450
5,313
5,400
5,422
5,445
5,403
5,400
5,420
5,415
5,420
5,413
5,476
5,439
5,388
5,425
5,473
5,413
5,451
5,388
5,459
5,456
5,430
5,430
5,444
5,441
5,425
5,422
5,412
5,391
5,410
5,450
5,473
5,398
5,428
5,410
5,445
5,446
5,421
5,491
5,368
5,331
5,440
5,435
5,404
5,461
5,419
5,380
5,445
5,413
5,435
5,422
5,424
5,387
5,379
5,435
5,426
5,400
5,424
5,380
5,364
5,445
5,418
5,420
5,438
5,408
5,421
5,450
5,422
5,411
5,418
5,442
5,382
5,390
5,378
5,400
5,398
5,429
5,434
5,401
5,480
5,396
5,394
5,385
5,402
5,360
5,413
5,403
5,436
5,440
5,421
5,408
5,466
5,444
5,465
5,470
5,455
5,514
5,385
5,420
5,466
5,442
5,412
5,466
5,405
5,500
5,410
5,473
5,391
5,437
5,428
5,475
5,480
5,460
5,485
5,423
5,408
5,433
5,382
5,442
5,445
5,521
5,459
5,438
5,440
5,456
5,380
5,415
5,421
5,459
5,412
5,385
5,432
5,475
5,370
5,478
5,431
5,465
5,410
5,439
5,410
5,437
5,463
5,470
5,423
5,440
5,418
5,412
5,472
5,395
5,420
5,415
5,405
5,464
5,450
5,429
5,398
5,388
5,448
5,460
5,435
5,440
5,463
5,475
5,485
5,362
5,424
5,426
5,450
5,445
5,415
5,448
5,400
5,382
5,473
5,376
5,418
5,430
5,460
5,426
5,476
5,423
5,365
5,450
5,455
5,426
5,420
5,437
5,360
5,470
5,490
5,379
5,362
5,344
5,464
5,475
5,486
5,469
5,397
5,364
5,472
5,446
5,457
5,450
5,435
5,496
5,457
5,436
5,444
5,365
5,384
5,392
5,449
5,432
5,411
5,349
5,445
5,446
5,424
5,406
5,430
5,424
5,379
5,419
5,425
5,402
5,385
5,395
5,451
5,469
5,414
5,423
5,444
5,375
5,335
5,413
5,458
5,433
5,417
5,425
5,420
5,425
5,472
5,395
5,440
5,395
5,392
5,429
5,420
5,459
5,389
5,465
5,413
5,426
5,412
5,382
5,414
5,371
5,451
5,455
5,433
5,446
5,421
5,455
5,405
5,428
5,341
5,372
5,447
5,452
5,411
5,428
5,437
5,405
5,420
5,397
5,438
5,443
5,432
5,450
5,420
5,435
5,380
5,449
5,419
5,432
5,437
5,455
5,415
5,459
5,388
5,424
5,410
5,402
5,419
5,420
5,450
5,366
5,445
5,420
5,410
5,435
5,405
5,415
5,410
5,440
5,455
5,459
5,464
5,452
5,380
5,441
5,403
5,431
5,400
5,371
5,442
5,430
5,390
5,450
5,372
5,407
5,388
5,357
5,403
5,388
5,399
5,439
5,454
5,413
5,417
5,429
5,401
5,442
5,425
5,467
5,455
5,411
5,415
5,451
5,364
5,403
5,419
5,381
5,413
5,430
5,414
5,424
5,450
5,447
5,425
5,443
5,377
5,431
5,428
5,410
5,443
5,485
5,412
5,445
5,447
5,458
5,440
5,421
5,466
5,369
5,380
5,388
5,401
5,380
5,439
5,395
5,412
5,392
5,390
5,431
5,396
5,465
5,465
5,422
5,410
5,477
5,391
5,450
5,440
5,450
5,445
5,474
5,400
5,418
5,455
5,439
5,402
5,423
5,431
5,402
5,450
5,392
5,439
5,388
5,417
5,385
5,503
5,415
5,416
5,411
5,410
5,433
5,430
5,389
5,415
5,375
5,377
5,456
5,421
5,432
5,464
5,417
5,455
5,435
5,455
5,458
5,394
5,406
5,449
5,432
5,393
5,403
5,428
5,421
5,401
5,450
5,445
5,450
5,400
5,390
5,455
5,435
5,460
5,400
5,440
5,465
5,465
5,390
5,440
5,415
5,420
5,435
5,416
5,435
5,371
5,410
5,405
5,495
5,386
5,460
5,440
5,422
5,468
5,502
5,465
5,455
5,476
5,439
5,419
5,422
5,436
5,378
5,394
5,432
5,398
5,439
5,425
5,420
5,401
5,405
5,427
5,460
5,429
5,407
5,440
5,444
5,449
5,434
5,433
5,460
5,483
5,454
5,430
5,425
5,428
5,444
5,424
5,440
5,416
5,443
5,431
5,451
5,442
5,380
5,414
5,491
5,471
5,428
5,440
5,450
5,427
5,410
5,475
5,467
5,411
5,442
5,454
5,448
5,462
5,456
5,466
5,418
5,430
5,416
5,418
5,384
5,408
5,464
5,404
5,478
5,452
5,433
5,402
5,392
5,390
5,414
5,412
5,373
5,392
5,426
5,411
5,423
5,416
5,441
5,420
5,402
5,427
5,420
5,419
5,378
5,403
5,358
5,450
5,442
5,379
5,387
5,381
5,387
5,440
5,424
5,450
5,415
5,410
5,476
5,483
5,434
5,376
5,412
5,418
5,336
5,412
5,417
5,396
5,364
5,424
5,406
5,472
5,418
5,408
5,408
5,438
5,394
5,418
5,394
5,413
5,400
5,426
5,448
5,427
5,398
5,366
5,466
5,415
5,427
5,442
5,412
5,380
5,390
5,446
5,449
5,417
5,454
5,400
5,435
5,467
5,394
5,476
5,406
5,481
5,414
5,380
5,415
5,398
5,421
5,385
5,402
5,418
5,419
5,446
5,468
5,388
5,455
5,396
5,440
5,394
5,372
5,461
5,415
5,455
5,381
5,394
5,377
5,403
5,382
5,384
5,364
5,384
5,386
5,449
5,396
5,376
5,434
5,416
5,391
5,419
5,455
5,445
5,400
5,395
5,385
5,416
5,413
5,392
5,388
5,403
5,411
5,417
5,407
5,380
5,378
5,396
5,426
5,415
5,405
5,407
5,419
5,404
5,378
5,454
5,383
5,392
5,436
5,363
5,420
5,405
5,419
5,441
5,356
5,446
5,438
5,457
5,378
5,388
5,422
5,394
5,419
5,413
5,433
5,418
5,414
5,424
5,410
5,425
5,402
5,413
5,410
5,410
5,439
5,466
5,432
5,388
5,394
5,417
5,418
5,420
5,408
5,396
5,412
5,396
5,418
5,432
5,442
5,406
5,498
5,408
5,388
5,398
5,408
5,418
5,478
5,403
5,396
5,402
5,424
5,421
5,378
5,378
5,406
5,433
5,410
5,404
5,425
5,435
5,418
5,385
5,395
5,375
5,414
5,398
5,420
5,441
5,408
5,438
5,410
5,390
5,441
5,395
5,409
5,340
5,416
5,421
5,445
5,385
5,387
5,385
5,467
5,405
5,435
5,455
5,468
5,395
5,375
5,433
5,394
5,407
5,419
5,475
5,474
5,415
5,385
5,405
5,425
5,435
5,435
5,450
5,435
5,455
5,460
5,445
5,415
5,430
5,450
5,475
5,410
5,410
5,445
5,430
5,465
5,465
5,455
5,480
5,450
5,440
5,450
5,425
5,470
5,445
5,430
5,480
5,435
5,406
5,425
5,435
5,455
5,415
5,400
5,460
5,431
5,440
5,428
5,426
5,406
5,437
5,438
5,515
5,442
5,478
5,427
5,463
5,425
5,434
5,449
5,472
5,405
5,433
5,424
5,417
5,430
5,474
5,420
5,460
5,438
5,457
5,420
5,422
5,482
5,461
5,440
5,457
5,440
5,438
5,425
5,420
5,392
5,450
5,428
5,455
5,467
5,433
5,421
5,430
5,485
5,420
5,421
5,406
5,400
5,410
5,420
5,428
5,410
5,431
5,398
5,420
5,391
5,399
5,408
5,380
5,470
5,460
5,400
5,456
5,470
5,448
5,443
5,449
5,440
5,430
5,464
5,424
5,450
5,445
5,444
5,413
5,411
5,439
5,443
5,438
5,395
5,475
5,435
5,401
5,415
5,469
5,388
5,432
5,455
5,415
5,438
5,394
5,403
5,420
5,490
5,445
5,437
5,442
5,421
5,420
5,470
5,342
5,388
5,411
5,453
5,455
5,408
5,460
5,467
5,453
5,405
5,452
5,446
5,327
5,445
5,456
5,455
5,411
5,391
5,424
5,470
5,425
5,452
5,380
5,404
5,438
5,460
5,443
5,457
5,363
5,408
5,447
5,382
5,362
5,428
5,374
5,402
5,410
5,427
5,454
5,408
5,428
5,418
5,420
5,408
5,404
5,443
5,455
5,460
5,428
5,385
5,422
5,450
5,400
5,425
5,440
5,424
5,460
5,444
5,405
5,422
5,438
5,408
5,407
5,408
5,398
5,392
5,428
5,408
5,412
5,440
5,425
5,410
5,432
5,418
5,420
5,430
5,388
5,454
5,475
5,477
5,398
5,382
5,388
5,405
5,370
5,371
5,418
5,400
5,420
5,390
5,390
5,395
5,442
5,406
5,412
5,432
5,400
5,416
5,408
5,472
5,446
5,408
5,410
5,432
5,450
5,350
5,395
5,440
5,442
5,440
5,455
5,440
5,390
5,435
5,470
5,449
5,430
5,405
5,460
5,349
5,455
5,410
5,429
5,415
5,434
5,440
5,406
5,462
5,436
5,426
5,497
5,465
5,397
5,437
5,405
5,407
5,424
5,414
5,402
5,442
5,441
5,443
5,417
5,487
5,395
5,387
5,448
5,392
5,458
5,460
5,426
5,466
5,425
5,439
5,390
5,476
5,462
5,392
5,395
5,487
5,416
5,427
5,411
5,418
5,385
5,446
5,452
5,447
5,421
5,366
5,465
5,460
5,438
5,402
5,446
5,350
5,418
5,447
5,436
5,430
5,413
5,438
5,419
5,432
5,426
5,454
5,390
5,425
5,420
5,480
5,405
5,415
5,441
5,391
5,367
5,434
5,425
5,427
5,415
5,392
5,324
5,430
5,424
5,365
5,410
5,386
5,380
5,393
5,395
5,368
5,375
5,432
5,343
5,405
5,472
5,460
5,450
5,490
5,402
5,465
5,415
5,406
5,410
5,468
5,386
5,366
5,363
5,405
5,445
5,391
5,510
5,465
5,465
5,452
5,359
5,395
5,498
5,356
5,423
5,410
5,452
5,375
5,388
5,353
5,365
5,381
5,386
5,490
5,377
5,419
5,406
5,402
5,397
5,376
5,432
5,413
5,460
5,388
5,473
5,373
5,384
5,488
5,380
5,393
5,393
5,424
5,417
5,357
5,331
5,402
5,387
5,387
5,400
5,357
5,365
5,429
5,465
5,346
5,372
5,449
5,398
5,557
5,372
5,399
5,428
5,414
5,423
5,442
5,395
5,461
5,430
5,478
5,362
5,480
5,455
5,372
5,450
5,383
5,440
5,373
5,452
5,393
5,422
5,350
5,402
5,366
5,451
5,514
5,415
5,371
5,393
5,340
5,415
5,490
5,371
5,440
5,413
5,415
5,380
5,355
5,435
5,362
5,390
5,335
5,399
5,453
5,349
5,399
5,384
5,395
5,467
5,338
5,387
5,373
5,407
5,377
5,390
5,360
